Stock ID,Serial Number,Factory,Picture,Comment,Mac address,Type,Atex Environment,Sensor data Status
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
WMBE0021642_Stock Management_ee6f96f8,WMBE0021642,Stock Management,Stock_Images/WMBE0021642_Stock Management_ee6f96f8.Picture.084114.jpg,,E12602F92A18,WM500331141,,Found in BigQuery PR01 & The Brain
WMBE0021644_Stock Management_4ed0376b,WMBE0021644,Stock Management,Stock_Images/WMBE0021644_Stock Management_4ed0376b.Picture.084242.jpg,,E12602F9751B,WM500331141,,Found in BigQuery PR01 & The Brain
WMBE0021599_Stock Management_94b21f46,WMBE0021599,Stock Management,Stock_Images/WMBE0021599_Stock Management_94b21f46.Picture.084345.jpg,,E12602F91C56,WM500331141,,Found in BigQuery PR01 & The Brain
WMBE0021659_Stock Management_ff8f72a7,WMBE0021659,Stock Management,Stock_Images/WMBE0021659_Stock Management_ff8f72a7.Picture.084447.jpg,,E12602F91F76,WM500331141,,Found in BigQuery PR01 & The Brain
WMBE0021635_Stock Management_610be7b6,WMBE0021635,Stock Management,Stock_Images/WMBE0021635_Stock Management_610be7b6.Picture.084729.jpg,,E12602F973F6,WM500331141,,Found in BigQuery PR01 & The Brain
WMBE0021650_Stock Management_ce4ec73c,WMBE0021650,Stock Management,Stock_Images/WMBE0021650_Stock Management_ce4ec73c.Picture.084910.jpg,,E12602F9184C,WM500331141,,Found in BigQuery PR01 & The Brain
WMBE0021634_Stock Management_52818692,WMBE0021634,Stock Management,Stock_Images/WMBE0021634_Stock Management_52818692.Picture.084936.jpg,,E12602F9746B,WM500331141,,Found in BigQuery PR01 & The Brain
WMBE0021664_Stock Management_a59c0cf2,WMBE0021664,Stock Management,Stock_Images/WMBE0021664_Stock Management_a59c0cf2.Picture.085006.jpg,,E12602F91BB9,WM500331141,,Found in BigQuery PR01 & The Brain
WMBE0021585_Stock Management_67cdc735,WMBE0021585,Stock Management,Stock_Images/WMBE0021585_Stock Management_67cdc735.Picture.085035.jpg,,E12602F91520,WM500331141,,Found in BigQuery PR01 & The Brain
WMBE0021661_Stock Management_837daa29,WMBE0021661,Stock Management,Stock_Images/WMBE0021661_Stock Management_837daa29.Picture.085103.jpg,,E12602F915CC,WM500331141,,Found in BigQuery PR01 & The Brain
WMBE0021656_Stock Management_02ea0aaf,WMBE0021656,Stock Management,Stock_Images/WMBE0021656_Stock Management_02ea0aaf.Picture.085127.jpg,,E12602F91842,WM500331141,,Found in BigQuery PR01 & The Brain
WMBE0021499_Stock Management_4e4b5412,WMBE0021499,Stock Management,,,E12602F96CB6,WM50033114106,,Found in BigQuery PR01 & The Brain
WMBE0021476_Stock Management_6683b955,WMBE0021476,Stock Management,,,E12602F91B94,WM50033114106,,Found in BigQuery PR01 & The Brain
WMBE0021487_Stock Management_92f6409f,WMBE0021487,Stock Management,,,E12602F97570,WM50033114106,,Found in BigQuery PR01 & The Brain
WMBE0021501_Stock Management_244d21f7,WMBE0021501,Stock Management,,,E12602F975B6,WM50033114106,,Found in BigQuery PR01 & The Brain
